abook
libwebp
libwmf
libwpd
libwpg
libwps
libx11
libx86emu
libxau
libxaw
libxcb
libxcomposite
libxcursor
libxdamage
libxdg-basedir
libxdmcp
libxext
libxfixes
libxfont2
libxft
libxi
libxinerama
libxkbcommon
libxkbcommon-x11
libxkbfile
libxml2
libxmu
libxpm
libxrandr
libxrender
libxshmfence
libxslt
libxss
libxt
libxtst
libxv
libxxf86dga
libxxf86vm
libyaml
libzen
libzip
libzmf
licenses
linux-api-headers
linux-firmware
linux419
linux419-headers
linux419-r8168
linux419-virtualbox-guest-modules
linux53
linux53-headers
linux53-r8168
linux53-virtualbox-guest-modules
linux53-virtualbox-host-modules
llvm-libs
lm_sensors
lmdb
logrotate
lpsolve
lsb-release
lsof
lua
lua52
luajit
lvm2
lxappearance
lxmenu-data
lz4
lzo
m4
mailcap
maim
make
man-db
man-pages
manjaro-firmware
manjaro-keyring
manjaro-release
manjaro-system
mathjax
mbedtls
mdadm
media-player-info
mediainfo
megacmd
megasync
memtest86+
menu-cache
mesa
metis
mhwd
mhwd-amdgpu
mhwd-ati
mhwd-catalyst
mhwd-db
mhwd-nvidia
mhwd-nvidia-340xx
mhwd-nvidia-390xx
minizip
mkinitcpio
mkinitcpio-busybox
mkinitcpio-openswap
mlocate
mobile-broadband-provider-info
mono
mozilla-common
mpc
mpd
mpfr
mpg123
mpv
msgpack-c
msmtp
mtdev
mypaint-brushes
nano
ncmpcpp
ncurses
ncurses5-compat-libs
ndctl
neomutt
neon
neovim
net-tools
nettle
network-manager-applet
networkmanager
newsboat
nfs-utils
nfsidmap
nilfs-utils
nm-connection-editor
node-gyp
nodejs-lts-dubnium
notmuch
notmuch-addrlookup-c
notmuch-mutt
notmuch-runtime
noto-fonts
npm
npth
nspr
nss
ntfs-3g
ntp
odt2txt
offlineimap
okular
oniguruma
openal
openbsd-netcat
opencore-amr
openexr
openjpeg2
openssh
openssl
openssl-1.0
openvpn
optipng
opus
orc
os-prober
otf-font-awesome
p11-kit
p7zip
pacaur
package-query
pacman
pacman-mirrors
pam
pamac-cli
pamac-common
pamac-gtk
pambase
pamixer
pango
pangomm
parted
pass
patch
pciutils
pcmanfm
pcre
pcre2
pcsclite
pdftk
perl
perl-alien-build
perl-alien-libxml2
perl-capture-tiny
perl-clone
perl-data-dump
perl-data-optlist
perl-dbi
perl-devel-globaldestruction
perl-digest-hmac
perl-digest-sha1
perl-encode-locale
perl-error
perl-exporter-tiny
perl-ffi-checklib
perl-file-chdir
perl-file-listing
perl-file-remove
perl-file-which
perl-html-parser
perl-html-tagset
perl-http-cookies
perl-http-daemon
perl-http-date
perl-http-message
perl-http-negotiate
perl-io-html
perl-io-socket-ssl
perl-io-stringy
perl-json
perl-libwww
perl-list-moreutils
perl-list-moreutils-xs
perl-lwp-mediatypes
perl-lwp-protocol-https
perl-mail-box
perl-mail-message
perl-mailtools
perl-mime-types
perl-net-http
perl-net-ssleay
perl-object-realize-later
perl-params-util
perl-path-tiny
perl-string-shellquote
perl-sub-exporter
perl-sub-exporter-progressive
perl-sub-install
perl-term-readline-gnu
perl-term-shellui
perl-timedate
perl-try-tiny
perl-uri
perl-user-identity
perl-www-robotrules
perl-xml-libxml
perl-xml-namespacesupport
perl-xml-sax
perl-xml-sax-base
pgadmin3
phonon-qt5
phonon-qt5-gstreamer
pinentry
pipewire
pixman
pkcs11-helper
pkgconf
podofo
polkit
polkit-qt5
polybar
poppler
poppler-data
poppler-glib
poppler-qt5
popt
portaudio
postgresql-libs
potrace
ppp
preload
procps-ng
psmisc
pulseaudio
pulseaudio-alsa
pulsemixer
purpose
pygobject-devel
pygobject2-devel
pygtk
pyqt5-common
python
python-appdirs
python-attrs
python-cachecontrol
python-cairo
python-chardet
python-colorama
python-dbus
python-dbus-common
python-distlib
python-distro
python-docopt
python-gobject
python-html5lib
python-idna
python-lockfile
python-msgpack
python-npyscreen
python-packaging
python-pep517
python-pillow-simd
python-pip
python-progress
python-psutil
python-pyparsing
python-pytoml
python-pywal
python-requests
python-retrying
python-setuptools
python-six
python-ueberzug
python-urllib3
python-urwid
python-webencodings
python-xlib
python2
python2-appdirs
python2-apsw
python2-backports
python2-backports.functools_lru_cache
python2-beautifulsoup4
python2-cairo
python2-chardet
python2-css-parser
python2-cssselect
python2-dateutil
python2-dbus
python2-dnspython
python2-dukpy
python2-enum34
python2-feedparser
python2-gobject2
python2-html2text
python2-html5-parser
python2-html5lib
python2-lxml
python2-markdown
python2-mechanize
python2-msgpack
python2-netifaces
python2-packaging
python2-pillow
python2-psutil
python2-pygments
python2-pyparsing
python2-pyqt5
python2-regex
python2-setuptools
python2-sip-pyqt5
python2-six
python2-soupsieve
python2-unrardll
python2-webencodings
qalculate-gtk
qca
qpdf
qt4
qt5-base
qt5-declarative
qt5-graphicaleffects
qt5-location
qt5-multimedia
qt5-quickcontrols
qt5-quickcontrols2
qt5-script
qt5-sensors
qt5-speech
qt5-svg
qt5-tools
qt5-webchannel
qt5-webkit
qt5-x11extras
qt5-xmlpatterns
rambox-os-git
ranger
raptor
rasqal
rdesktop
re2
readline
redland
reiserfsprogs
remmina
remmina-plugin-rdesktop
rest
rp-pppoe
rpcbind
rsync
rtkit
rubberband
ruby
rubygems
run-parts
runc
s-nail
sbc
sc-im
screen
screenkey
scrot
sdl
sdl2
sed
semver
sencha-cmd-6
serf
shaderc
shadow
shared-mime-info
signal
signon-kwallet-extension
signon-plugin-oauth2
signon-ui
signond
simple-mtpfs
skypeforlinux-stable-bin
slang
slop
smartmontools
smbclient
snappy
socat
solid
sonnet
sound-theme-freedesktop
spandsp
spectre-meltdown-checker
speex
speexdsp
spirv-tools
sqlite
startup-notification
stfl
subversion
sudo
suitesparse
sxiv
syntax-highlighting
sysfsutils
systemd
systemd-libs
systemd-sysvcompat
t1lib
taglib
talloc
tar
task-spooler
tcl
tcpdump
tdb
teamviewer12
tevent
texinfo
texlive-bin
texlive-core
texlive-latexextra
texlive-localmanager-git
thin-provisioning-tools
threadweaver
tk
tlp
tmux
tor-browser
traceroute
transmission-cli
transmission-remote-cli-git
tree
truecrypt
tslib
ttf-dejavu
ttf-inconsolata
ttf-joypixels
ttf-linux-libertine
ttf-symbola
twolame
tzdata
uchardet
udisks2
unclutter-xfixes-git
unibilium
unoconv
unrar
unzip
upower
urlscan
urlview
usbmuxd
usbutils
util-linux
v4l-utils
v86d
vagrant
vamp-plugin-sdk
vi
vid.stab
vifm
vim-pathogen
vim-runtime
virtualbox
virtualbox-ext-oracle
virtualbox-guest-dkms
virtualbox-guest-iso
virtualbox-guest-utils
virtualbox-host-dkms
volume_key
vpnc
vte-common
vte3
vulkan-icd-loader
w3m
wavpack
wayland
wayland-protocols
webkit2gtk
webkitgtk
webrtc-audio-processing
wget
which
whois
wildmidi
wine-staging
winetricks
wireless-regdb
wireless_tools
wireshark-cli
wireshark-qt
woff2
wpa_actiond
wpa_supplicant
wxgtk-common
wxgtk2
wxgtk3
x264
x265
xapian-core
xcape
xcb-proto
xcb-util
xcb-util-cursor
xcb-util-image
xcb-util-keysyms
xcb-util-renderutil
xcb-util-wm
xcb-util-xrm
xclip
xcompmgr
xdg-utils
xdotool
xf86-input-keyboard
xf86-input-libinput
xf86-input-mouse
xf86-video-nouveau
xfsprogs
xkeyboard-config
xmlsec
xorg-bdftopcf
xorg-font-util
xorg-font-utils
xorg-fonts-encodings
xorg-mkfontscale
xorg-server
xorg-server-common
xorg-setxkbmap
xorg-xauth
xorg-xbacklight
xorg-xdpyinfo
xorg-xinit
xorg-xkbcomp
xorg-xmessage
xorg-xmodmap
xorg-xprop
xorg-xrandr
xorg-xrdb
xorg-xset
xorg-xwininfo
xorgproto
xpdf
xssstate
xvidcore
xwallpaper
xz
yajl
yaourt
yay
youtube-dl
youtube-viewer
zathura
zathura-djvu
zathura-pdf-poppler
zathura-ps
zenity
zeromq
zip
zita-alsa-pcmi
zita-resampler
zlib
zsh
zstd
zziplib
